id,employee_id,app_id,role,last_login
ACC-056,EMP-056,APP-056,user,2026-08-01
ACC-057,EMP-057,APP-057,user,2026-08-02
ACC-058,EMP-058,APP-058,user,2026-08-03
ACC-059,EMP-059,APP-059,user,2026-08-04
ACC-060,EMP-060,APP-060,user,2026-08-05
ACC-061,EMP-061,APP-001,user,2026-08-06
ACC-062,EMP-062,APP-002,user,2026-08-07
ACC-063,EMP-072,APP-003,user,2026-08-08
ACC-064,EMP-064,APP-004,user,2026-08-09
ACC-065,EMP-065,APP-005,user,2026-08-10
ACC-066,EMP-066,APP-006,user,2026-08-11
ACC-067,EMP-067,APP-007,user,2026-08-12
ACC-068,EMP-068,APP-008,admin,2026-08-13
ACC-069,EMP-069,APP-009,user,2026-08-14
ACC-070,EMP-070,APP-010,user,2026-08-15
ACC-071,EMP-001,APP-011,user,2026-08-16
ACC-072,EMP-002,APP-012,user,2026-08-17
ACC-073,EMP-003,APP-013,user,2026-08-18
ACC-074,EMP-004,APP-014,user,2026-08-19
ACC-075,EMP-005,APP-015,user,2026-08-20
ACC-076,EMP-006,APP-016,user,2026-08-21
ACC-077,EMP-007,APP-017,user,2026-08-22
ACC-078,EMP-008,APP-018,user,2026-08-23
ACC-079,EMP-009,APP-019,user,2026-08-24
ACC-080,EMP-010,APP-020,user,2026-08-25
ACC-081,EMP-011,APP-021,user,2026-08-26
ACC-082,EMP-012,APP-022,user,2026-08-27
ACC-083,EMP-013,APP-023,user,2026-08-28
ACC-084,EMP-014,APP-024,user,2026-08-01
ACC-085,EMP-015,APP-025,admin,2026-08-02
ACC-086,EMP-016,APP-026,user,2026-08-03
ACC-087,EMP-017,APP-027,user,2026-08-04
ACC-088,EMP-018,APP-028,user,2026-08-05
ACC-089,EMP-019,APP-029,user,2026-08-06
ACC-090,EMP-020,APP-030,user,2026-08-07
ACC-091,EMP-021,APP-031,user,2026-08-08
ACC-092,EMP-022,APP-032,user,2026-08-09
ACC-093,EMP-023,APP-033,user,2026-08-10
ACC-094,EMP-024,APP-034,user,2026-08-11
ACC-095,EMP-025,APP-035,user,2026-08-12
ACC-096,EMP-026,APP-036,user,2026-08-13
ACC-097,EMP-027,APP-037,user,2026-08-14
ACC-098,EMP-028,APP-038,user,2026-08-15
ACC-099,EMP-029,APP-039,user,2026-08-16
ACC-100,EMP-030,APP-040,user,2026-08-17
ACC-101,EMP-031,APP-041,user,2026-08-18
ACC-102,EMP-032,APP-042,admin,2026-08-19
ACC-103,EMP-033,APP-043,user,2026-08-20
ACC-104,EMP-099,APP-044,user,2026-08-21
ACC-105,EMP-035,APP-045,user,2026-08-22
ACC-106,EMP-036,APP-046,user,2026-08-23
ACC-107,EMP-037,APP-047,user,2026-08-24
ACC-108,EMP-038,APP-048,user,2026-08-25
ACC-109,EMP-039,APP-049,user,2026-08-26
ACC-110,EMP-040,APP-050,user,2026-08-27
ACC-111,EMP-041,APP-051,user,2026-08-28
ACC-112,EMP-042,APP-052,user,2026-08-01
ACC-113,EMP-043,APP-053,user,2026-08-02
ACC-114,EMP-044,APP-054,user,2026-08-03
ACC-115,EMP-045,APP-055,user,2026-08-04
ACC-116,EMP-046,APP-056,user,2026-08-05
ACC-117,EMP-047,APP-057,user,2026-08-06
ACC-118,EMP-048,APP-058,user,2026-08-07
ACC-119,EMP-049,APP-059,admin,2026-08-08
ACC-120,EMP-050,APP-060,user,2026-08-09
